Gene	Inheritance_model
SEMDJL3	AR
SPR	AR
ALMS1	AR
ALSS	AR
KIAA0328	AR
TPRKB	AR
GAMOS5	AR
STAMBP	AR
AMSH	AR
MICCAP	AR
ACTG2	AD
ACTA3	AD
VSCM1	AD
DGUOK	AR
DGK	AR
MTDPS3	AR
PEOB4	AR
NCPH	AR
TET3	AD,AR
KIAA0401	AD,AR
BEFAHRS	AD,AR
BOLA3	AR
MMDS2	AR
DCTN1	AD
HMN7B	AD
MOGS	AR
GCS1	AR
CDG2B	AR
HTRA2	AR
OMI	AR
PARK13	AR
PRSS25	AR
MGCA8	AR
M1AP	AR
SPATA37	AR
C2orf65	AR
SPGF48	AR
DFNA43	AD
CTNNA2	AR
CAPR	AR
CTNR	AR
CDCBM9	AR
SUCLG1	AR
SUCLA1	AR
MTDPS9	AR
ELMOD3	AR
RBED1	AR
DFNB88	AR
GGCX	AR
VKCFD1	AR
SFTPB	AR
SFTB3	AR
SMDP1	AR
SIAT9	AR
ST3GALV	AR
SPDRS	AR
POLR1A	AD
RPA194	AD
AFDCIN	AD
PTCD3	AR
COXPD51	AR
REEP1	AD
C2orf23	AD
SPG31	AD
HMN5B	AD
CD8A	AR
EIF2AK3	AR
PEK	AR
PERK	AR
WRS	AR
RPIA	AR
RPI	AR
RPIAD	AR
IGKC	AR
IGKCD	AR
STARD7	AD
GTT1	AD
FAME2	AD
SNRNP200	AD
ASCC3L1	AD
KIAA0788	AD
RP33	AD
NCAPH	AR
CAPH	AR
BRRN1	AR
MCPH23	AR
LMAN2L	AR
VIPL	AR
MRT52	AR
CNNM4	AR
ACDP4	AR
ZAP70	AR
SRK	AR
ADMIO2	AR
IMD48	AR
VWA3B	AR
SCAR22	AR
CNGA3	AR
CNG3	AR
ACHM2	AR
COA5	AR
C2orf64	AR
PET191	AR
MC4DN9	AR
TSGA10	AR
SPGF26	AR
LIPT1	AR
LIPT1D	AR
AFF3	AD
LAF4	AD
KINS	AD
POU3F3	AD
SNIBFIS	AD
SLC5A7	AD,AR
CHT1	AD,AR
HMN7A	AD,AR
CMS20	AD,AR
COMA	AR
EDAR	AD,AR
DL	AD,AR
HRM1	AD,AR
ECTD10A	AD,AR
ECTD10B	AD,AR
NPHP1	AR
NPH1	AR
SLSN1	AR
JBTS4	AR
ANAPC1	AR
APC1	AR
MERTK	AR
RP38	AR
ENDOVESL	AR
POLR1B	AD
TCS4	AD
CKAP2L	AR
RADMIS	AR
IL37	AR
IL1F7	AR
FIL1Z	AR
IL1H4	AR
IL1RP1	AR
IBD31	AR
IL36RN	AR
IL1F5	AR
FIL1D	AR
IL1HY1	AR
IL1RP3	AR
PSORP	AR
PSORS14	AR
IL1RN	AR
MVCD4	AR
DIRA	AR
PAX8	AD
EN1	AR
ENDOVESLB	AR
STEAP3	AD
TSAP6	AD
AHMIO2	AD
GLI2	AD
HPE9	AD
CJS	AD
RNU4ATAC	AR
U4ATAC	AR
MOPD1	AR
TALS	AR
RFMN	AR
LWS	AR
DYT21	AD
BIN1	AR
AMPHL	AR
CNM2	AR
ERCC3	AR
XPB	AR
TTD2	AR
PROC	AD,AR
PC	AD,AR
THPH3	AD,AR
THPH4	AD,AR
LIMS2	AR
PINCH2	AR
MDRCMTT	AR
SMPD4	AR
NSMASE3	AR
KIAA1418	AR
NEDMABA	AR
CCDC115	AR
CCP1	AR
CDG2O	AR
CFC1	AD
CRYPTIC	AD
HTX2	AD
TUBA3D	AD
KTCN9	AD
RAB3GAP1	AR
WARBM1	AR
P130	AR
MARTS2	AR
LCT	AR
LAC	AR
LPH	AR
MCM6	AD
DARS1	AR
DARS	AR
HBSL	AR
CXCR4	AD
D2S201E	AD
NPY3R	AD
WHIMS1	AD
HNMT	AR
MRT51	AR
KYNU	AR
KYNUU	AR
VCRL2	AR
ZEB2	AD
ZFHX1B	AD
SMADIP1	AD
SIP1	AD
DFNA16	AD
DFNB27	AR
GEFSP7	AD
FEB3B	AD
ORC4	AR
ORC4L	AR
MBD5	AD
KIAA1461	AD
MRD1	AD
KIF5C	AD
NKHC2	AD
CDCBM2	AD
MMADHC	AR
C2orf25	AR
NEB	AR
NEM2	AR
AMC6	AR
CACNB4	AD
EJM6	AD
EA5	AD
EIG9	AD
MMDK	AD
MDK	AD
ACVR1	AD
ACVRLK2	AD
ALK2	AD
FOP	AD
ITGB6	AR
AI1H	AR
TBR1	AD
IDDAS	AD
IFIH1	AD
MDA5	AD
AGS7	AD
SGMRT1	AD
SCN3A	AD
FFEVF4	AD
DEE62	AD
SCN2A	AD
SCN2A1	AD
BFIC3	AD
DEE11	AD
BFIS3	AD
BFNIS	AD
EA9	AD
GALNT3	AR
HHS	AD,AR
HFTC1	AR
TTC21B	AD,AR
THM1	AD,AR
NPHP12	AD,AR
SRTD4	AD,AR
ATD4	AD,AR
SCN1A	AD
GEFSP2	AD
SMEI	AD
FEB3A	AD
DEE6A	AD
DRVT	AD
FHM3	AD
DEE6B	AD
SCN9A	AD,AR
NENA	AD,AR
PN1	AD,AR
SFNP	AD,AR
HSAN2D	AD,AR
DUP2q31.1	AD
C2DUPq31.1	AD
PNKD2	AD
ABCB11	AR
BSEP	AR
SPGP	AR
PFIC2	AR
BRIC2	AR
LRP2	AR
DBS	AR
BBS5	AR
KLHL41	AR
KBTBD10	AR
SARCOSIN	AR
NEM9	AR
METTL5	AR
HSPC133	AR
MRT72	AR
GAD1	AR
SCP	AR
CPSQ1	AR
DEE89	AR
DCAF17	AR
C20orf37	AR
DYNC1I2	AR
DNCI2	AR
IC2	AR
NEDMIBA	AR
SLC25A12	AR
ARALAR	AR
DEE39	AR
ITGA6	AR
ZAK	AR
MLTK	AR
MRK	AR
SFMMP	AR
CNM6	AR
CDCA7	AR
JPO1	AR
ICF3	AR
WIPF1	AR
WASPIP	AR
WIP	AR
WAS2	AR
CHRNA1	AD,AR
ACHRD	AD,AR
CMS1B	AD,AR
CMS1A	AD,AR
CHN1	AD,AR
CHN	AD
ARHGAP2	AD
RHOGAP2	AD
DURS2	AD
LNPK	AR
KIAA1715	AR
NEDEHCC	AR
HOXD13	AD
HOX4I	AD
SPD1	AD
BDSD	AD
HOXD10	AD
HOX4D	AD
MTX2	AR
MDPS	AR
NFE2L2	AD
NRF2	AD
IMDDHH	AD
AGPS	AR
ADHAPS	AR
RCDP3	AR
PDE11A	AD
PDE11A1	AD
PDE11A2	AD
PDE11A3	AD
PPNAD2	AD
PRKRA	AR
PACT	AR
RAX	AR
DYT16	AR
PJVK	AR
DFNB59	AR
TTN	AD,AR
CMD1G	AD,AR
TMD	AD,AR
LGMDR10	AD,AR
MPRM	AD,AR
HMERF	AD,AR
SALMY	AD,AR
DA10	AD
ARVD4	AD
FSIP2	AR
SPGF34	AR
CALCRL	AR
CGRPR	AR
CRLR	AR
LMPHM8	AR
COL3A1	AD,AR
EDSVASC	AD,AR
PMGEDSV	AD,AR
COL5A2	AD
EDSCL2	AD
SLC40A1	AD
SLC11A3	AD
FPN1	AD
IREG1	AD
HFE4	AD
HIBCH	AR
GLS	AD,AR
GLS1	AD,AR
DEE71	AD,AR
CASGID	AD,AR
GDPAG	AD,AR
STAT1	AD,AR
CANDF7	AD,AR
IMD31A	AD,AR
IMD31B	AD,AR
IMD31C	AD,AR
HECW2	AD
NEDL2	AD
KIAA1301	AD
NDHSAL	AD
PGAP1	AR
NEDDSBA	AR
HSPD1	AD,AR
SPG13	AD,AR
HSP60	AD,AR
HLD4	AD,AR
MARS2	AR
SPAX3	AR
COXPD25	AR
SATB2	AD
KIAA1034	AD
GLSS	AD
NDUFB3	AR
MC1DN25	AR
CASP10	AD
MCH4	AD
ALPS2	AD
CASP8	AR
MCH5	AR
ALPS2B	AR
TMEM237	AR
ALS2CR4	AR
JBTS14	AR
ALS2	AR
ALSJ	AR
PLSJ	AR
IAHSP	AR
BMPR2	AD
PPH1	AD
POVD1	AD
CTLA4	AD
IDDM12	AD
CELIAC3	AD
ALPS5	AD
ICOS	AR
AILIM	AR
CVID1	AR
NDUFS1	AR
MC1DN5	AR
FASTKD2	AR
KIAA0971	AR
COXPD44	AR
CRYGD	AD
CRYG4	AD
CTRCT4	AD
CACA	AD
CCA3	AD
PCC	AD
CRYGC	AD
CRYG3	AD
CTRCT2	AD
CCL	AD
CRYGB	AD
CRYG2	AD
CTRCT39	AD
DUP2q35	AD
C2DUPq35	AD
SDTY1	AD
SD1	AD
PIKFYVE	AD
PIP5K3	AD
UNC80	AR
C2orf21	AR
KIAA1843	AR
MYL1	AR
MYOFTA	AR
CPS1	AR
PHN	AR
ERBB4	AD
HER4	AD
ALS19	AD
PSHK2	AD
ABCA12	AR
ARCI4A	AR
ARCI4B	AR
ICR2B	AR
LI2	AR
ATIC	AR
PURH	AR
AICAR	AR
FN1	AD
FN	AD
LETS	AD
FNZ	AD
GFND2	AD
SMDCF	AD
SMARCAL1	AR
HARP	AR
SIOD	AR
PNKD	AD
R1	AD
TAHCCP2	AD
KIPP1184	AD
BRP17	AD
FPD1	AD
PDC	AD
DYT8	AD
CATIP	AR
C2orf62	AR
ZNF142	AR
NEDISHM	AR
BCS1L	AR
FLNMS	AR
GRACILE	AR
BJS	AR
PTD	AR
MC3DN1	AR
CYP27A1	AR
CYP27	AR
CTX	AR
WNT10A	AD,AR
SSPS	AD,AR
STHAG4	AD,AR
OODD	AD,AR
CRYBA2	AD
CTRCT42	AD,AR
CFAP65	AR
CCDC108	AR
SPGF40	AR
IHH	AD,AR
BDA1	AD,AR
ABCB6	AD
MTABC3	AD
MCOPCB7	AD
LAN	AD
DUH3	AD
TUBA4A	AD
TUBA1	AD
ALS22	AD
DNAJB2	AR
HSJ1	AR
HSPF3	AR
DSMA5	AR
DES	AD,AR
CMD1I	AD,AR
MFM1	AD,AR
SCPNK	AD,AR
SPEG	AR
APEG1	AR
CNM5	AR
GMPPA	AR
AAMR	AR
OBSL1	AR
KIAA0657	AR
3M2	AR
ACRPV	AD
PAX3	AD,AR,SM
WS1	AD,AR,SM
HUP2	AD,AR,SM
CDHS	AD,AR,SM
WS3	AD,AR,SM
FARSB	AR
FARSLB	AR
RILDBC1	AR
MRPL44	AR
COXPD16	AR
CUL3	AD
PHA2E	AD
NEDAUS	AD
COL4A4	AD,AR
ATS2	AD,AR
BFH	AD,AR
COL4A3	AD,AR
ATS3	AD,AR
MFF	AR
C2orf33	AR
EMPF2	AR
SLC19A3	AR
THMD2	AR
BBGD	AR
TRIP12	AD
MRD49	AD
BDMR	AD
C2DELq37	AD
DEL2q37	AD
SP110	AR
IFI41	AR
IFI75	AR
VODI	AR
ARMC9	AR
KIAA1868	AR
JBTS30	AR
PDE6D	AR
JBTS22	AR
DIS3L2	AR
PRLMNS	AR
ECEL1	AR
XCE	AR
DA5D	AR
PRSS56	AR
MCOP6	AR
CHRND	AD,AR
SCCMS	AD,AR
CMS3A	AD,AR
CMS3B	AD,AR
CMS3C	AD,AR
CHRNG	AR
ACHRG	AR
KCNJ13	AD,AR
SVD	AD,AR
LCA16	AD,AR
SAG	AR
RP47	AR
UGT1A1	AR
UGT1	AR
GNT1	AR
BILIQTL1	AR
ACKR3	AR
CXCR7	AR
CMKOR1	AR
GPR159	AR
RDC1	AR
COL6A3	AD,AR
DYT27	AD,AR
BTHLM1	AD,AR
UCMD1	AD,AR
MLPH	AR
PER2	AD
FASPS1	AD
KIAA0347	AD
TRAF3IP1	AR
MIPT3	AR
SLSN9	AR
TWIST2	AD,AR
DERMO1	AD,AR
SETLSS	AD,AR
FFDD3	AD,AR
BBRSAY	AD,AR
AMS	AD,AR
NDUFA10	AR
MC1DN22	AR
KIF1A	AD,AR
ATSV	AD,AR
UNC104	AD,AR
SPG30	AD,AR
HSN2C	AD,AR
MRD9	AD,AR
AGXT	AR
SPAT	AR
D2HGDH	AR
D2HGD	AR
DEL3pterp25	AD
C3DELpterp25	AD
MYMY1	AR
MYMY	AR
TRNT1	AR
SIFD	AR
RPEM	AR
CRBN	AR
MRT2	AR
SUMF1	AR
FGE	AR
ITPR1	AD,AR
SCA15	AD,AR
SCA16	AD,AR
SCA29	AD,AR
GRM7	AR
MGLUR7	AR
NEDSHBA	AR
CAV3	AD
LQT9	AD
MPDT	AD
RMD2	AD
SETD5	AD
KIAA1757	AD
BRPF1	AD
BR140	AD
IDDDFP	AD
CIDEC	AR
FSP27	AR
CIDE3	AR
FPLD5	AR
JAGN1	AR
SCN6	AR
IL17RC	AR
IL17RL	AR
CANDF9	AR
CRELD1	AD
AVSD2	AD
FANCD2	AR
FANCD	AR
FACD	AR
FAD	AR
VHL	AD,AR
SLC6A1	AD
GABATR	AD
MAE	AD
PPARG	AD,AR
PPARG1	AD,AR
PPARG2	AD,AR
CIMT1	AD,AR
GLM1	AD,AR
TSEN2	AR
SEN2	AR
PCH2B	AR
RAF1	AD
CRAF	AD
NS5	AD
CMD1NN	AD
IQSEC1	AR
KIAA0763	AR
IDDSSBA	AR
LGMD1H	AD
WNT7A	AR
TMEM43	AD
ARVD5	AD
ARVC5	AD
EDMD7	AD
XPC	AR
XPCC	AR
SLC6A6	AR
TAUT	AR
HTRDC	AR
CCDC174	AR
HSPC212	AR
IHPM	AR
MRPS25	AR
COXPD50	AR
COLQ	AR
EAD	AR
CMS5	AR
BTD	AR
HSN1B	AD
TRICY1	AD
SATB1	AD
DEFDA	AD
KTZSL	AD
SGOL1	AR
SGO	AR
SGO1	AR
CAID	AR
FEB9	AD
RPL15	AD
DBA12	AD
THRB	AD,AR
ERBA2	AD,AR
THR1	AD,AR
PRTH	AD,AR
RARB	AD,AR
HAP	AD,AR
MCOPS12	AD,AR
NGLY1	AR
PNG1	AR
CDDG	AR
CDG1V	AR
NEK10	AR
CILD44	AR
TGFBR2	AD
HNPCC6	AD
AAT3	AD
MFS2	AD
LDS2	AD
SCLC1	AD
STT3B	AR
SIMP	AR
CDG1X	AR
TRIM71	AD
LIN41	AD
HYDCC1	AD
GLB1	AR
MPS4B	AR
CRTAP	AR
CASP	AR
OI7	AR
DDH2	AD,AR
MLH1	AD,AR
COCA2	AD,AR
HNPCC2	AD,AR
MMRCS1	AD,AR
PLCD1	AD,AR
NDNC3	AD,AR
MYD88	AR
MYD88D	AR
IMD68	AR
SCN5A	AD,AR
LQT3	AD,AR
VF1	AD,AR
HB1	AD,AR
SSS1	AD,AR
CMD1E	AD,AR
CDCD2	AD,AR
SCN10A	AD
FEPS2	AD
SCN11A	AD
HSAN7	AD
FEPS3	AD
TTC21A	AR
STI2	AR
SPGF37	AR
SLC25A38	AR
SIDBA2	AR
RPSA	AD
LAMR1	AD
LAMBR	AD
ICAS	AD
CTNNB1	AD
NEDSDV	AD
EVR7	AD
TRAK1	AR
OIP106	AR
KIAA1042	AR
DEE68	AR
KLHL40	AR
SYRP	AR
KBTBD5	AR
NEM8	AR
POMGNT2	AR
GTDC2	AR
C3orf39	AR
AGO61	AR
MDDGA8	AR
MDDGC8	AR
ANO10	AR
TMEM16K	AR
SCAR10	AR
ABHD5	AR
CGI58	AR
IECN2	AR
NCIE2	AR
LARS2	AR
PRLTS4	AR
HLASA	AR
SLC6A20	AD,AR,DR
XT3	AD,AR,DR
LZTFL1	AR
BBS17	AR
FYCO1	AR
CATC2	AR
CTRCT18	AR
TMIE	AR
DFNB6	AR
MYL3	AD,AR
CMH8	AD,AR
PTH1R	AD,AR
PTHR1	AD,AR
PTHR	AD,AR
PFE	AD,AR
EKNS	AD,AR
NBEAL2	AR
KIAA0540	AR
GPS	AR
BDPLT4	AR
SETD2	AD
SET2	AD
HYPB	AD
HBP231	AD
KIAA1732	AD
LLS	AD
PTPN23	AR
KIAA1471	AR
HDPTP	AR
NEDBASS	AR
DHX30	AD
DDX30	AD
RETCOR	AD
KIAA0890	AD
NEDMIAL	AD
TREX1	AD,AR
AGS1	AD,AR
CRV	AD,AR
HERNS	AD,AR
RVCLS	AD,AR
COL7A1	AD,AR
NDNC8	AD,AR
UQCRC1	AD
PKNPY	AD
SLC25A20	AR
CACT	AR
CAC	AR
P4HTM	AR
PH4	AR
HIDEA	AR
DALRD3	AR
DEE86	AR
NDUFAF3	AR
MC1DN18	AR
QRICH1	AD
VERBRAS	AD
QARS1	AR
QARS	AR
GLNRS	AR
MSCCA	AR
LAMB2	AR
LAMS	AR
NPHS5	AR
GPX1	AR
GPXD	AR
AMT	AR
NKH	AR
GCE	AR
DAG1	AR
DAG	AR
MDDGC9	AR
MDDGA9	AR
LGMDR16	AR
GMPPB	AR
KIAA1851	AR
MDDGA14	AR
MDDGB14	AR
MDDGC14	AR
LGMDR19	AR
TRAIP	AR
TRIP	AR
RNF206	AR
SCKL9	AR
GNAT1	AD,AR
CSNBAD3	AD,AR
CSNB1G	AD,AR
GNAI2	AD
GNAI2B	AD
GIP	AD
HYAL1	AR
MPS9	AR
ZMYND10	AR
BLU	AR
NPRL2	AD
FFEVF2	AD
CACNA2D2	AR
KIAA0558	AR
CASVDD	AR
MAPKAP3	AD
3PK	AD
MDPT3	AD
DOCK3	AR
NEDIDHA	AR
ACY1	AR
ACY1D	AR
POC1A	AR
PIX2	AR
SOFT	AR
GLYCTK	AR
GLYCTK1	AR
DNAH1	AR
HL11	AR
DNAHC1	AR
HDHC7	AR
SPGF18	AR
CILD37	AR
BAP1	AD
TPDS	AD
TNNC1	AD
CMD1Z	AD
CMH13	AD
RFT1	AR
CDG1N	AR
PRKCD	AR
CVID9	AR
ALPS3	AR
SDDHD	AR
CACNA1D	AD,AR
CACNL1A2	AD,AR
CCHL1A2	AD,AR
SANDD	AD,AR
PASNA	AD,AR
WNT5A	AD
IL17RD	AD,AR
SEF	AD,AR
HH18	AD,AR
HESX1	AD,AR
RPX	AD,AR
CPHD5	AD,AR
FLNB	AD,AR
SCT	AD,AR
AOI	AD,AR
LRS1	AD,AR
DNASE1L3	AR
SLEB16	AR
PDHB	AR
PDHBD	AR
ACOX2	AR
BRCACOX	AR
CBAS6	AR
ATXN7	AD
SCA7	AD
OPCA3	AD
SLC25A26	AR
SAMC	AR
COXPD28	AR
EOGT	AR
EOGT1	AR
C3orf64	AR
AOS4	AR
LMOD3	AR
NEM10	AR
MITF	AD,AR
WS2A	AD,AR
CMM8	AD,AR
COMMAD	AD,AR
FOXP1	AD
QRF1	AD
PROK2	AR
PK2	AD
BV8	AD
HH4	AD
PBC1	AD
ROBO2	AD
SAX3	AD
KIAA1568	AD
GBE1	AR
GSD4	AR
APBD	AR
CHMP2B	AD
DMT1	AD,AR
VPS2B	AD
FTDALS7	AD
POU1F1	AD,AR
PIT1	AD,AR
CPHD1	AD,AR
PROS1	AD,AR
THPH5	AD,AR
THPH6	AD,AR
ARL13B	AR
ARL2L1	AR
JBTS8	AR
CAMPD1	AD
ARL6	AR
BBS3	AR
RP55	AR
CPOX	AD,AR
HARPO	AD,AR
TBC1D23	AR
PCH11	AR
TFG	AD,AR
HMSNP	AD,AR
SPG57	AD,AR
IMPG2	AD,AR
IPM200	AD,AR
RP56	AD,AR
VMD5	AD,AR
TRMT10C	AR
RG9MTD1	AR
MRPP1	AR
COXPD30	AR
ZBTB11	AR
MRT69	AR
IFT57	AR
ESRRBL1	AR
HIPPI	AR
OFD18	AR
CD96	AD
TACTILE	AD
NEPRO	AR
C3orf17	AR
ANXD3	AR
CFAP44	AR
WDR52	AR
SPGF20	AR
DEL3q13.31	AD
C13DELq13.31	AD
ATP6V1A	AD,AR
HO68	AD,AR
ARCL2D	AD,AR
DEE93	AD,AR
ZBTB20	AD
ZNF288	AD
DPZF	AD
PRIMS	AD
ARHGAP31	AD
CDGAP	AD
KIAA1204	AD
AOS1	AD
POGLUT1	AD,AR
CLP46	AD,AR
KTELC1	AD,AR
RUMI	AD,AR
C3orf9	AD,AR
DDD4	AD,AR
LGMDR21	AD,AR
TIMMDC1	AR
C3orf1	AR
MC1DN31	AR
CFAP91	AR
MAATS1	AR
AAT1	AR
C3orf15	AR
SPGF51	AR
HGD	AR
AKU	AR
IQCB1	AR
NPHP5	AR
KIAA0036	AR
ILDR1	AR
DFNB42	AR
CASR	AD,AR
HHC1	AD,AR
PCAR1	AD,AR
FIH	AD,AR
EIG8	AD,AR
HYPOC1	AD,AR
GLC1C	AD
HCFP1	AD
MBS2	AD
CSTA	AR
STFA	AR
STF1	AR
AREI	AR
PSS4	AR
ADCY5	AD
FDFM	AD
MYLK	AD,AR
MLCK	AD,AR
AAT7	AD,AR
MMIHS1	AD,AR
UMPS	AR
OPRT	AR
ZNF148	AD
ZFP148	AD
GDACCF	AD
UROC1	AR
UROCD	AR
MCM2	AD
CDCL1	AD
DFNA70	AD
SEC61A1	AD
SEC61	AD
ADTKD5	AD
GATA2	AD
DCML	AD
MONOMAC	AD
IMD21	AD
RAB7	AD
CMT2B	AD
PSN	AD
ACAD9	AR
MC1DN20	AR
GP9	AR
CNBP	AD
ZNF9	AD
CNBP1	AD
DM2	AD
PROMM	AD
IFT122	AR
WDR10	AR
CED1	AR
DFNA18	AD
PARK21	AD
SLSN3	AR
RHO	AD,AR
RP4	AD,AR
OPN2	AD,AR
CSNBAD1	AD,AR
TRH	AR
ATP2C1	AD
BCPM	AD
HHD	AD
MRPL3	AR
MRL3	AR
COXPD9	AR
UBA5	AR
UBE1DC1	AR
DEE44	AR
SCAR24	AR
NPHP3	AR
NPH3	AR
RHPD1	AR
MKS7	AR
BFSP2	AD
CP49	AD
CP47	AD
CTRCT12	AD
TF	AR
TFQTL1	AR
SLCO2A1	AD,AR
OATP2A1	AD,AR
PGT	AD,AR
SLC21A2	AD,AR
PHOAR2	AD,AR
PHOAD	AD,AR
CEP63	AR
SCKL6	AR
KY	AR
MFM7	AR
PCCB	AR
STAG1	AD
MRD47	AD
DZIP1L	AR
DZIP2	AR
PKD5	AR
MRAS	AD
RRAS3	AD
NS11	AD
FOXL2	AD,AR
BPES	AD,AR
BPES1	AD,AR
PFRK	AD,AR
POF3	AD,AR
MRPS22	AR
C3orf5	AR
COXPD5	AR
ODG7	AR
COPB2	AR
MCPH19	AR
FRP1	AD,AR
SCKL1	AD,AR
FCTCS	AD,AR
PLS1	AD
DFNA76	AD
PLOD2	AR
LH2	AR
TLH	AR
BRKS2	AR
ZIC1	AD
CRS6	AD
BAIDCS	AD
AGTR1	AR
AGTR1A	AR
AT2R1	AR
GYG1	AR
GSD15	AR
HPS3	AR
CP	AR
ETL6	AD
RNF13	AD
DEE73	AD
CLRN1	AR
USH3A	AR
USH3	AR
RP61	AR
MED12L	AD
NOPAR	AD
KIAA1635	AD
NIZIDS	AD
P2RY12	AR
P2Y12	AR
BDPLT8	AR
MME	AD,AR
CD10	AD,AR
CALLA	AD,AR
NEP	AD,AR
CMT2T	AD,AR
SCA43	AD,AR
SLC33A1	AD,AR
ACATN	AD,AR
AT1	AD,AR
SPG42	AD,AR
CCHLND	AD,AR
RSRC1	AR
SRRP53	AR
MRT70	AR
GFM1	AR
EFG1	AR
GFM	AR
COXPD1	AR
IFT80	AR
KIAA1374	AR
WDR56	AR
SRTD2	AR
ATD2	AR
AGA1	AD
MPB	AD
SI	AR
BCHE	AR
CHE1	AR
BCHED	AR
PDCD10	AD
TFAR15	AD
CCM3	AD
SERPINI1	AD
PI12	AD
APMR2	AR
MECOM	AD
EVI1	AD
RUSAT2	AD
TERC	AD
TRC3	AD
TR	AD
DKCA1	AD
PFBMFT2	AD
CLDN11	AD
OTM	AD
OSP	AD
HLD22	AD
SLC7A14	AR
KIAA1613	AR
RP68	AR
SLC2A2	AR
GLUT2	AR
TNIK	AR
KIAA0551	AR
MRT54	AR
APMR1	AR
PLD1	AR
CVDD	AR
GHSR	AD,AR
GHDP	AD,AR
SPATA16	AR
SPGF6	AR
TBL1XR1	AD
TBLR1	AD
IRA1	AD
C21	AD
MRD41	AD
GNB4	AD
CMTD1F	AD
CCDC39	AR
FXR1	AR
MYORIBF	AR
MYOPMIL	AR
DNAJC19	AR
TIM14	AR
SOX2	AD
MCOPS3	AD
AOMS1	AD
SYNX	AD
SPG14	AR
MCCC1	AR
MCCA	AR
KLHL24	AD
KRIP6	AD
EBSSH	AD
YEATS2	AD
KIAA1197	AD
FAME4	AD
EIF2B5	AR
LVWM	AR
CACH	AR
CLE	AR
DVL3	AD
DRS3	AD
AP2M1	AD
CLAPM1	AD
MRD60	AD
ALG3	AR
NOT56L	AR
CDGS4	AR
CDG1D	AR
CLCN2	AD,AR
EGMA	AD,AR
ECA2	AD,AR
EGI11	AD,AR
EJM8	AD,AR
LKPAT	AD,AR
HALD2	AD,AR
THPO	AD
MGDF	AD
MPLLG	AD
THCYT1	AD
EHHADH	AD
PBFE	AD
LBFP	AD
FRTS3	AD
LIPH	AR
LAH2	AR
ARWH2	AR
HYPT7	AR
CRYGS	AD
CRYG8	AD
CTRCT20	AD
DNAJB11	AD
HEDJ	AD
DJ9	AD
ABBP2	AD
PKD6	AD
AHSG	AR
HRG	AD
THPH11	AD
KNG1	AD
KNG	AD
HAE6	AD
MASP1	AR
CRARF	AR
3MC1	AR
LPP	AD,SM
TP63	AD
TP73L	AD
KET	AD
EEC3	AD
SHFM4	AD
LMS	AD
RHS	AD
OFC8	AD
P3H2	AR
LEPREL1	AR
MCVD	AR
CLDN16	AR
PCLN1	AR
HOMG3	AR
CLDN1	AR
SEMP1	AR
ILVASC	AR
CCDC50	AD
C3orf6	AD
DFNA44	AD
FGF12	AD
FHF1	AD
DEE47	AD
DUP3q29	AD
MICRODUP3q29	AD
OPA1	AD,AR
NTG	AD,AR
NPG	AD,AR
BERHS	AD,AR
MTDPS14	AD,AR
TFRC	AR
TFR	AR
CD71	AR
IMD46	AR
PCYT1A	AR
CTPCT	AR
PCYT1	AR
SMDCRD	AR
TCTEX1D2	AR
SRTD17	AR
RNF168	AR
RIDL	AR
NRROS	AR
LRRC33	AR
SENEBAC	AR
CEP19	AR
C3orf34	AR
MOSPGF	AR
RUBCN	AR
RUBICON	AR
KIAA0226	AR
SCAR15	AR
RPL35A	AD
DBA5	AD
MDCMP	AR
PLSA1	AD
PLSA	AD
SPG38	AD
ZNF141	AR
D4S90	AR
PAPA6	AR
PIGG	AR
GPI7	AR
MRT53	AR
PDE6B	AD,AR
PDEB	AD,AR
RP40	AD,AR
CSNBAD2	AD,AR
CPLX1	AR
CPX1	AR
DEE63	AR
SLC26A1	AR
SAT1	AR
CAON	AR
IDUA	AR
IDA	AR
CTBP1	AD
HADDTS	AD
UVSSA	AR
KIAA1530	AR
UVSS3	AR
FGFR3	AD,AR
ACH	AD,AR
NAT8L	AR
CML3	AR
NACED	AR
SH3BP2	AD
CRPM	AD
HTT	AD,AR
HD	AD,AR
IT15	AD,AR
LOMARS	AD,AR
DOK7	AR
C4orf25	AR
CMS10	AR
FADS3	AR
LRPAP1	AR
A2MRAP	AR
MYP23	AR
MSX1	AD
HOX7	AD
HYD1	AD
OFC5	AD
STHAG1	AD
ECTD3	AD
EVC2	AD,AR
LBN	AD,AR
WAD	AD,AR
EVC	AD,AR
WFS1	AD,AR
WFRS	AD,AR
WFS	AD,AR
DFNA6	AD,AR
DFNA14	AD,AR
DFNA38	AD,AR
WFSL	AD,AR
CTRCT41	AD,AR
HMX1	AR
H6	AR
SLC2A9	AD,AR
GLUT9	AD,AR
UAQTL2	AD,AR
WDR1	AR
PFITS	AR
HDL3	AR
HLN2	AR
RAB28	AR
CORD18	AR
NKX3-2	AR
BAPX1	AR
SMMD	AR
CC2D2A	AR
KIAA1345	AR
MKS6	AR
COACH2	AR
PROM1	AD,AR
PROML1	AD,AR
AC133	AD,AR
RP41	AD,AR
CORD12	AD,AR
CD133	AD,AR
MCDR2	AD,AR
STGD4	AD,AR
TAPT1	AR
CMVFR	AR
OCLSBG	AR
QDPR	AR
DHPR	AR
CLRN2	AR
DFNB117	AR
SEPSECS	AR
SLA	AR
LP	AR
